HC Priceline Amendment                                         ,,Amendment,20-Oct-15,,,,http://localhost/contracts/htm/67.htm,http://localhost/contracts/orig/67.pdf
Hilton WorldWide  ,,Master Services Agreement,4-Feb-14,,,,http://localhost/contracts/htm/68.htm,http://localhost/contracts/orig/68.pdf
Hotelicia_9865                                                        ,,API Partnership,2-Feb-09,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/69.htm,http://localhost/contracts/orig/69.pdf
Hotelium,,Strategic Partnership Agreement,1-Apr-14,,,,http://localhost/contracts/htm/70.htm,http://localhost/contracts/orig/70.pdf
Hotelnjoy,,Amendment,30-Oct-15,,,,http://localhost/contracts/htm/71.htm,http://localhost/contracts/orig/71.pdf
Hotelpass                          ,,Partnership Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/72.htm,http://localhost/contracts/orig/72.pdf
Hotels At Ease_11013                                                  ,,Partnership Agreement,8-Jun-08,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/73.htm,http://localhost/contracts/orig/73.pdf
HungryHotels_6082                                                     ,,Partnership Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/74.htm,http://localhost/contracts/orig/74.pdf
Insidr_9685                                                           ,,API Partnership,10-Sep-08,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/75.htm,http://localhost/contracts/orig/75.pdf
Interactive Marketing_13600                                           ,,API Partnership,18-Jun-09,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/76.htm,http://localhost/contracts/orig/76.pdf
ixigo_7603                                                            ,,OCR Unrecognisable,,,,,http://localhost/contracts/htm/77.htm,http://localhost/contracts/orig/77.pdf
Kelkoo                                                                ,,Affiliate Agreement,29-Nov-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/78.htm,http://localhost/contracts/orig/78.pdf
Laterooms,,Partnership Agreement,27-Oct-14,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/79.htm,http://localhost/contracts/orig/79.pdf
Liligo                                                                ,,Relationship Agreement,11-May-09,,Syndication<P>14.1    Both parties agree that the Affiliate has the right to make the Company’s technology and functionality available to 3rd parties (“3rd Party Sites”). The Affiliate’s intent of doing so for every 3rd Party Site must be notified in advance to Company and the 3rd Party Site must be identified to the Company (site name and URL).,,http://localhost/contracts/htm/80.htm,http://localhost/contracts/orig/80.pdf
Lyno Media_10102                                                      ,,Relationship Agreement,28-May-09,,"Commission 70% <BR> 30 days written notice.<BR><P>Under the advanced configuration option, the Partner agrees to pay the Company a monthly fee (USD) based on the following formula:<P>Total monthly fee = (TNR - FR) * RFEE<P>Total Number of monthly Redirections via the advanced commission configuration option (TNR)<P>Number of Free monthly Redirections via the advanced commission configuration option (FR) = 10,000.<P>Fee for each redirection (RFEE) = $0.15USD<P>",,http://localhost/contracts/htm/81.htm,http://localhost/contracts/orig/81.pdf
MajorNetworks_6264                                                    ,,API Partnership,11-May-09,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/82.htm,http://localhost/contracts/orig/82.pdf
MalaysiaTravel_18199                                                  ,,API Partnership,4-Feb-10,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/83.htm,http://localhost/contracts/orig/83.pdf
Markt Control Multimedia Verlag GmbH & Co KG_7285                     ,,API Partnership,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/84.htm,http://localhost/contracts/orig/84.pdf
Mobile Data Solutions_12590                                           ,,API Partnership,23-Feb-10,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/85.htm,http://localhost/contracts/orig/85.pdf
Momentum Design Lab_8342                                              ,,API Partnership,11-Mar-09,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/86.htm,http://localhost/contracts/orig/86.pdf
